subdistrict_code,subdistrict_name,district_code
00083,Pangi,023
00084,Chaurah,023
00085,Saluni,023
00086,Bhalai,023
00087,Dalhousie,023
00088,Bhattiyat,023
00089,Sihunta,023
00090,Chamba,023
00091,Holi,023
00092,Brahmaur,023
00093,Nurpur,024
00094,Indora,024
00095,Fatehpur,024
00096,Jawali,024
00097,Harchakian,024
00098,Shahpur,024
00099,Dharmsala,024
00100,Kangra,024
00101,Nagrota Bagwan,024
00102,Baroh,024
00103,Dera Gopipur,024
00104,Jawalamukhi,024
00105,Jaswan,024
00106,Rakkar,024
00107,Khundian,024
00108,Thural,024
00109,Dhira,024
00110,Jaisinghpur,024
00111,Palampur,024
00112,Baijnath,024
00113,Multhan,024
00114,Udaipur,025
00115,Lahul,025
00116,Spiti,025
00117,Manali,026
00118,Kullu,026
00119,Sainj,026
00120,Banjar,026
00121,Ani,026
00122,Nermand,026
00123,Padhar,027
00124,Jogindarnagar,027
00125,Lad Bharol,027
00126,Sandhol,027
00127,Dharmpur,027
00128,Kotli,027
00129,Sarkaghat,027
00130,Bhadrota,027
00131,Baldwara,027
00132,Sundarnagar,027
00133,Mandi,027
00134,Aut,027
00135,Bali Chowki,027
00136,Thunag,027
00137,Chachyot,027
00138,Nihri,027
00139,Karsog,027
00140,Tira Sujanpur,028
00141,Nadaun,028
00142,Galore,028
00143,Hamirpur,028
00144,Barsar,028
00145,Dhatwal,028
00146,Bhoranj,028
00147,Bharwain,029
00148,Amb,029
00149,Bangana,029
00150,Una,029
00151,Haroli,029
00152,Ghumarwin,030
00153,Bharari,030
00154,Jhanduta,030
00155,Naina Devi,030
00156,Bilaspur Sadar,030
00157,Namhol,030
00158,Arki,031
00159,Darlaghat,031
00160,Ramshahr,031
00161,Nalagarh,031
00162,Baddi,031
00163,Krishangarh,031
00164,Kasauli,031
00165,Solan,031
00166,Kandaghat,031
00167,Rajgarh,032
00168,Nohra,032
00169,Pachhad,032
00170,Renuka,032
00171,Dadahu,032
00172,Nahan,032
00173,Paonta Sahib,032
00174,Kamrau,032
00175,Shalai,032
00176,Ronhat,032
00177,Rampur,033
00178,Nankhari,033
00179,Kumharsain,033
